UtcTime,QuaternionNormRaw,ValidQuaternion,BodyRateXDegps,BodyRateYDegps,BodyRateZDegps,TotalRateDegps,StableRateFlag,ElevationDeg,AzimuthDeg,RangeKm,Sunlit,NadirErrorDeg,SunErrorDeg,GroundStationPointingErrorDeg,VisibleFromZhongli,SensorCandidateAtTelemetryTime
22-Apr-2026 05:25:32,0.992343309069936,1,0.016177882,0.049821462,0.008530296,0.0530722893012067,1,-24.9754928289588,156.671410852632,6576.38917444229,1,60.7506644229278,89.9575615549254,111.077314429524,0,0
22-Apr-2026 05:25:42,0.992343320225343,1,0.013484189,0.047422025,0.016057903,0.0518510178959464,1,-24.611861449135,156.515771414795,6514.36397495774,1,60.3052916433315,89.9593957877552,110.829766175312,0,0
22-Apr-2026 05:25:52,0.992343507714245,1,0.010775976,0.047517,0.008590284,0.0494750434760115,1,-24.2471813171456,156.358553714968,6452.1657541968,1,59.8597737504676,89.9571489761038,110.57881006118,0,0
22-Apr-2026 05:26:02,0.992343646699159,1,0.018085463,0.042597074,0.003622478,0.0464189296747171,1,-23.8814223183007,156.199679621933,6389.79732126307,1,59.4297528160174,89.9728447867656,110.345291760329,0,0
22-Apr-2026 05:26:12,0.992343766160247,1,0.012876065,0.042666357,0.0011580739,0.0445819717452418,1,-23.5145530640995,156.039068135108,6327.26153065677,1,58.9937447858708,89.9771475784195,110.101113459894,0,0
22-Apr-2026 05:26:22,0.992344092985062,1,0.0126595935,0.05272454,0.00870759,0.0549177981114041,1,-23.1465409422966,155.876634716918,6264.56130363374,1,58.5675023499071,89.9812037265739,109.86041191705,0,0
22-Apr-2026 05:26:32,0.992344333602253,1,0.014940902,0.047791157,0.011235436,0.0513172511158027,1,-22.7773518288176,155.712292093485,6201.69959253523,1,58.1325741346832,89.9850101289084,109.614686816576,0,0
22-Apr-2026 05:26:42,0.992344191284158,1,0.017198889,0.052851375,0.013777407,0.0572615627263926,1,-22.4069501254871,155.54594959002,6138.67940166444,1,57.6937516146694,89.9706029602427,109.354867058092,0,0
22-Apr-2026 05:26:52,0.99234386218375,1,0.021972803,0.0403899,0.011304039,0.0473490167944418,1,-22.0352988005488,155.377512414901,6075.50380945448,1,57.2743279221595,89.9821931931032,109.119322242327,0,0
22-Apr-2026 05:27:02,0.992344132667111,1,0.014235365,0.047926355,0.013817174,0.0518699857105776,1,-21.6623590812809,155.206882461143,6012.17593222863,1,56.8547827965024,89.9912029601517,108.881189385178,0,0
22-Apr-2026 05:27:12,0.992344113165602,1,0.023981072,0.047964327,0.016335342,0.0560581116083041,1,-21.288090482251,155.033957580117,5948.69894627792,1,56.4257333302283,89.9890990137041,108.630767982552,0,0
22-Apr-2026 05:27:22,0.992344208100968,1,0.016222743,0.050531726,0.013849164,0.0548491756226292,1,-20.9124508330186,154.858630812496,5885.07611080121,1,56.0020711718929,89.9829440404669,108.379268700022,0,0
22-Apr-2026 05:27:32,0.992344007555566,1,0.020950638,0.040589392,0.003846784,0.0458391287294966,1,-20.535395950169,154.680791173963,5821.31073152422,1,55.5834722696792,89.9766609574438,108.128991454073,0,0
22-Apr-2026 05:27:42,0.992344078476811,1,0.018176187,0.053143375,0.016340375,0.05849444362835,1,-20.1568796498654,154.500322872258,5757.40618352847,1,55.1668961162962,89.9750737123201,107.881608785474,0,0
22-Apr-2026 05:27:52,0.992344322331176,1,0.017914306,0.048194353,0.011311372,0.0526456565831658,1,-19.7768537639056,154.317104455277,5693.36593581266,1,54.7532527034254,89.986552730063,107.642885801181,0,0
22-Apr-2026 05:28:02,0.992344447246739,1,0.015130818,0.048241585,0.0137994215,0.0524081693097175,1,-19.3952677836351,154.13100958672,5629.19351428955,1,54.3319849909201,89.9728741470005,107.383592549854,0,0
22-Apr-2026 05:28:12,0.992344370579379,1,0.009845362,0.045749404,0.018783985,0.0504259577176922,1,-19.0120688564763,153.941906179131,5564.89252607578,1,53.9398926124582,89.9865349958892,107.154013969841,0,0
22-Apr-2026 05:28:22,0.992344550333473,1,0.014534661,0.045691267,0.016267499,0.0506318059540168,1,-18.6272017844939,153.749655454407,5500.466685492,1,53.5602384802375,90.0121175346653,106.936713478903,0,0
